Date,Time,Age,ISBN,Title,Authors,Line Type,Sale/Order ID,Condition,Section,Location,Binding,Publisher,Source,Event,Quantity,Unit,Credit Used,Discount,Extended,Cost,Credit,Cash,Store Rem.,Chain Rem.,On Order,Sale Type,Register,Barcode,Customer
2026-02-01,2:28 PM,8 days,9780691255859,Contact: Art and the Pull of Print,"Roberts, Jennifer L",Sale,21128,New,Non-Fiction,Floor,Trade Paperback,Princeton University Press,Ingram Book Company,,1,$39.95,$0.00,$0.00,$39.95,$23.97,$23.97,$0.00,0,0,0,Sale,CashDrawer1,9789910190056,Toby Millman
2026-02-01,4:03 PM,576 days,9783037785010,"Solid Objectives: Order, Edge, Aura","Idenburg, Florian",Sale,21129,Used - Good,"Architecture, Design, Urban Studies",Floor,Trade Paperback,Lars Müller Publishers,Riley Rinnan,,1,$15.00,$0.00,$0.00,$15.00,$7.50,$7.50,$0.00,0,0,0,Sale,CashDrawer1,9789910164439,
2026-02-01,4:56 PM,87 days,9781250303547,"Virgin Suicides (Picador Modern Classics, 2)","Eugenides, Jeffrey",Sale,21130,New,Fiction,Floor,Trade Paperback,Picador Paper,Ingram Book Company,,1,$18.00,$0.00,$0.00,$18.00,$10.80,$10.80,$0.00,1,1,0,Sale,CashDrawer1,9789910187025,Sarah Peterson
2026-02-01,9:07 PM,113 days,281BVP1000936,Young Thing,"Bialecki, Grace",Sale,21131,New,Poetry,Floor,Trade Paperback,rainbow skull,Grace Bialecki,,1,$20.00,$0.00,$0.00,$20.00,$16.00,$16.00,$0.00,1,1,0,Sale,CashDrawer1,9789910185687,
2026-02-01,9:07 PM,"1,199 days",9781937027605,The Most Foreign Country (Lost Literature),"Pizarnik, Alejandra",Sale,21131,New,Poetry,Floor,Trade Paperback,Ugly Duckling Presse,Ingram Book Company,,1,$14.00,$0.00,$0.00,$14.00,$12.60,$12.60,$0.00,0,0,0,Sale,CashDrawer1,9789910121005,
2026-02-01,9:07 PM,665 days,9781953387424,I Sing to Use the Waiting: A Collection of Essays About the Women Singers Who've Made Me Who I Am,"Pace, Zachary",Sale,21131,New,Essays,Floor,Trade Paperback,Two Dollar Radio, Book Suey,,1,$16.95,$0.00,$0.00,$16.95,$0.00,$0.00,$0.00,5,5,0,Sale,CashDrawer1,9789910158506,
2026-02-01,9:07 PM,759 days,9781949342024,Help in the Dark Season: Poems,"Suskin, Jacqueline",Sale,21131,New,Poetry,Floor,Trade Paperback,Write Bloody Publishing,Ingram Book Company,,1,$17.00,$0.00,$0.00,$17.00,$10.20,$10.20,$0.00,1,1,0,Sale,CashDrawer1,9789910153105,
2026-02-01,9:07 PM,22 days,9781964537542,Polish Folk Magic: Ancestral Lore  & Traditions of the West Slavs,"Tarnawska, Joanna",Sale,21131,New,Non-Fiction,Floor,Trade Paperback,Crossed Crow Books,Ingram Book Company,,1,$24.95,$0.00,$0.00,$24.95,$14.97,$14.97,$0.00,0,0,0,Sale,CashDrawer1,9789910189531,
2026-02-01,9:07 PM,29 days,9780300276763,Enheduana: The Complete Poems of the World's First Author,"Helle, Sophus",Sale,21131,New,Poetry,Floor,Trade Paperback,Yale University Press,Ingram Book Company,,1,$22.00,$0.00,$0.00,$22.00,$13.20,$13.20,$0.00,0,0,0,Sale,CashDrawer1,9789910189005,
2026-02-01,9:07 PM,24 days,9781890650650,Ventifacts,"Hume, Christine",Sale,21131,New,Essays,Floor,Trade Paperback,Omnidawn,Ingram Book Company,,1,$11.95,$0.00,$0.00,$11.95,$7.17,$7.17,$0.00,0,0,0,Sale,CashDrawer1,9789910189319,
